 ROC-integ, Separation, Significance, Variables
 0.677,0.110,0.336, ptSumOther_mOtherMax, ptSumOther_ptSumOtherMax
 0.708,0.149,0.406, ptSumOther_mOtherMax, dEtaJJ_dEtaJJMin
 0.678,0.116,0.332, ptSumOther_mOtherMax, ptSumOther_etaJJMax
 0.677,0.118,0.329, ptSumOther_mOtherMax, ptSumOther_dEtaJJMin
 0.688,0.120,0.336, ptSumOther_mOtherMax, ptSumOther_ptJJMax
 0.714,0.148,0.431, ptSumOther_mOtherMax, higgsLike_dijet_mass2
 0.679,0.110,0.330, ptSumOther_mOtherMax, ptSumOther_etaJJMin
 0.672,0.104,0.320, ptSumOther_mOtherMax, ptSumOther_dPhiJJMin
 0.677,0.112,0.329, ptSumOther_mOtherMax, ptSumOther_dRJJMax
 0.678,0.115,0.338, ptSumOther_mOtherMax, ptSumOther_ptJJMin
 0.678,0.118,0.334, ptSumOther_mOtherMax, ptSumOther_mJJMin
 0.678,0.115,0.333, ptSumOther_mOtherMax, ptSumOther_pJJMax
 0.676,0.107,0.325, ptSumOther_mOtherMax, ptSumOther_pzJJMin
 0.676,0.107,0.325, ptSumOther_mOtherMax, ptSumOther_pzOtherMax
 0.676,0.118,0.341, ptSumOther_mOtherMax, ptSumOther_pJJMin
 0.680,0.116,0.326, ptSumOther_mOtherMax, ptSumOther_mOtherMin
 0.673,0.110,0.325, ptSumOther_mOtherMax, ptSumOther_etaOtherMax
 0.699,0.133,0.368, ptSumOther_mOtherMax, mOther_dEtaJJMax
 0.681,0.119,0.344, ptSumOther_mOtherMax, ptSumOther_ptOtherMin
 0.678,0.117,0.339, ptSumOther_mOtherMax, ptSumOther_dRJJMin
 0.695,0.134,0.370, ptSumOther_mOtherMax, ptLeadOther_sumPtJJMax
 0.695,0.134,0.370, ptSumOther_mOtherMax, ptLeadOther_ptSumOtherMin
 0.695,0.134,0.370, ptSumOther_mOtherMax, ptLeadOther_ptLeadOtherMin
 0.688,0.126,0.350, ptSumOther_mOtherMax, sumPtJJ_ptLeadOtherMax
 0.680,0.120,0.321, ptSumOther_mOtherMax, ptSumOther_mJJMax
 0.696,0.136,0.365, ptSumOther_mOtherMax, mOther_dRJJMax
 0.677,0.113,0.329, ptSumOther_mOtherMax, ptSumOther_pOtherMax
 0.702,0.141,0.401, ptSumOther_mOtherMax, min_dr_jets
 0.702,0.141,0.401, ptSumOther_mOtherMax, dRJJ_dRJJMin
 0.719,0.157,0.453, ptSumOther_mOtherMax, numHiggsLike_dijet_15_float
 0.681,0.122,0.336, ptSumOther_mOtherMax, ptSumOther_ptLeadOtherMax
 0.680,0.113,0.341, ptSumOther_mOtherMax, ptSumOther_ptAsymJJMin
 0.705,0.144,0.418, ptSumOther_mOtherMax, higgsLike_dijet_mass
 0.727,0.165,0.476, ptSumOther_mOtherMax, dRJJ_ptJJMax
 0.685,0.118,0.332, ptSumOther_dEtaJJMax, sum_pt
 0.685,0.121,0.318, ptSumOther_dEtaJJMax, ptSumOther_ptOtherMax
 0.683,0.114,0.325, ptSumOther_dEtaJJMax, ptSumOther_pOtherMin
 0.686,0.116,0.325, ptSumOther_dEtaJJMax, ptSumOther_etaOtherMin
 0.685,0.119,0.312, ptSumOther_dEtaJJMax, ptSumOther_dPhiJJMax
 0.681,0.113,0.316, ptSumOther_dEtaJJMax, ptSumOther_pzJJMax
 0.681,0.113,0.316, ptSumOther_dEtaJJMax, ptSumOther_pzOtherMin
 0.678,0.110,0.308, ptSumOther_dEtaJJMax, ptSumOther_sumPtJJMax
 0.678,0.110,0.308, ptSumOther_dEtaJJMax, ptSumOther_ptSumOtherMin
 0.678,0.110,0.308, ptSumOther_dEtaJJMax, ptSumOther_ptLeadOtherMin
 0.685,0.116,0.324, ptSumOther_dEtaJJMax, ptSumOther_sumPtJJMin
 0.685,0.116,0.324, ptSumOther_dEtaJJMax, ptSumOther_ptSumOtherMax
 0.710,0.148,0.399, ptSumOther_dEtaJJMax, dEtaJJ_dEtaJJMin
 0.682,0.118,0.325, ptSumOther_dEtaJJMax, ptSumOther_etaJJMax
 0.687,0.118,0.335, ptSumOther_dEtaJJMax, ptSumOther_dEtaJJMin
 0.684,0.121,0.319, ptSumOther_dEtaJJMax, ptSumOther_ptJJMax
 0.712,0.148,0.418, ptSumOther_dEtaJJMax, higgsLike_dijet_mass2
 0.679,0.109,0.316, ptSumOther_dEtaJJMax, ptSumOther_etaJJMin
 0.679,0.107,0.314, ptSumOther_dEtaJJMax, ptSumOther_dPhiJJMin
 0.675,0.110,0.315, ptSumOther_dEtaJJMax, ptSumOther_dRJJMax
 0.681,0.113,0.327, ptSumOther_dEtaJJMax, ptSumOther_ptJJMin
 0.686,0.119,0.328, ptSumOther_dEtaJJMax, ptSumOther_mJJMin
 0.683,0.114,0.319, ptSumOther_dEtaJJMax, ptSumOther_pJJMax
 0.679,0.114,0.319, ptSumOther_dEtaJJMax, ptSumOther_pzJJMin
 0.679,0.114,0.319, ptSumOther_dEtaJJMax, ptSumOther_pzOtherMax
 0.680,0.115,0.324, ptSumOther_dEtaJJMax, ptSumOther_pJJMin
 0.680,0.112,0.315, ptSumOther_dEtaJJMax, ptSumOther_mOtherMin
 0.678,0.111,0.316, ptSumOther_dEtaJJMax, ptSumOther_etaOtherMax
 0.689,0.123,0.347, ptSumOther_dEtaJJMax, mOther_dEtaJJMax
 0.682,0.113,0.325, ptSumOther_dEtaJJMax, ptSumOther_ptOtherMin
 0.683,0.122,0.321, ptSumOther_dEtaJJMax, ptSumOther_dRJJMin
 0.696,0.131,0.361, ptSumOther_dEtaJJMax, ptLeadOther_sumPtJJMax
 0.696,0.131,0.361, ptSumOther_dEtaJJMax, ptLeadOther_ptSumOtherMin
 0.696,0.131,0.361, ptSumOther_dEtaJJMax, ptLeadOther_ptLeadOtherMin
 0.692,0.128,0.343, ptSumOther_dEtaJJMax, sumPtJJ_ptLeadOtherMax
 0.680,0.111,0.313, ptSumOther_dEtaJJMax, ptSumOther_mJJMax
 0.686,0.116,0.334, ptSumOther_dEtaJJMax, mOther_dRJJMax
 0.683,0.116,0.325, ptSumOther_dEtaJJMax, ptSumOther_pOtherMax
 0.704,0.141,0.396, ptSumOther_dEtaJJMax, min_dr_jets
 0.704,0.141,0.396, ptSumOther_dEtaJJMax, dRJJ_dRJJMin
 0.718,0.162,0.442, ptSumOther_dEtaJJMax, numHiggsLike_dijet_15_float
 0.684,0.119,0.317, ptSumOther_dEtaJJMax, ptSumOther_ptLeadOtherMax
 0.678,0.116,0.320, ptSumOther_dEtaJJMax, ptSumOther_ptAsymJJMin
